Year,Day,Variable_Source_Area_Delineated_Average,Snow(mm/day)_Delineated_Average,Snow_Melt(mm/day)_Delineated_Average,Rain(mm/day)_Delineated_Average,Runoff_All(mm/day)_Delineated_Average,Runoff_Suface(mm/day)_Delineated_Average,Air_Temperature(degC)_Delineated_Average,Min_Air_Temperature(degC)_Delineated_Average,Max_Air_Temperature(degC)_Delineated_Average,Ground_Surface_Temperature(degC)_Delineated_Average,N_in(gN/day/m2)_Delineated_Average,Grassland_71_agBiomass_Pool(gC)_Cover_Total,Grassland_71_agBiomass_Pool(gC/m2)_Cover_Average,Grassland_71_agBiomass_Pool(gC/m2)_Delineated_Average,EvergreenForest_42_ET(mm*m2/day)_Cover_Total,EvergreenForest_42_Biomass_Pool(gC)_Cover_Total,EvergreenForest_42_Biomass_Pool(gC/m2)_Cover_Average,Wetlands_90_Biomass_Pool(gC/m2)_Delineated_Average
1987,1,0.157786002476465,5.70750929663874,0.0076237807205075,1.4764684380928328,47.62937997297709,0.0225212702655634,-0.1327861890910691,,,-0.2933381357680242,1.80790822809496e-06,155921400.0,2.0,0.1253389474902692,1199961266.656494,33244539554132.0,41807.81738934011,9.967450239884329
1987,2,0.538592085486646,9.719313857417776,0.1556254273017319,3.987961900967476,24.074307389596107,4.073293942106374,0.1355849447794191,,,-0.0438843291599717,8.62135898069078e-06,155921400.0,2.0,0.1253389474902692,1133385671.1228027,33244546035488.0,41807.825540192905,9.967450239884329
1987,3,0.4568878230194277,8.89456888194354,0.2909272085847404,3.807131367126048,14.835140098504109,1.787537484639489,1.0215467605259505,,,0.5327589602878577,1.279048515851421e-05,155921400.0,2.0,0.1253389474902692,1173553468.8291016,33244554593296.0,41807.83630235953,9.967450239884329
1987,4,0.3600985279647948,6.440387926668692,0.3399656440364052,3.260895648497808,10.519264620869135,0.7289590520864009,0.7571790413780541,,,0.555574904047405,1.5639051945047802e-05,155921400.0,2.0,0.1253389474902692,1157570480.343994,33244567296808.0,41807.85227809921,9.967450239884329
1987,5,0.0386250460571783,2.061575762179682,0.0138699217223922,0.3145147468633344,8.000168411820828,0.3632724708388482,-0.4088600963486496,,,0.2214233950818204,2.111088872195366e-06,155921400.0,2.0,0.1253389474902692,1053393432.3693848,33244575896916.0,41807.86309346167,9.967450239884329
1987,6,0.0010723697939275,1.23687256731924,0.0164366132923847,0.0054556737757014,6.490274078029309,0.2277092360534792,-1.3959484831961624,,,-0.1018820789201126,1.6340958861848214e-07,155921400.0,2.0,0.1253389474902692,962164338.402954,33244611774400.0,41807.90821242916,9.967450239884329
1987,7,0.0021743276540072,1.3383889684710104,0.0023539999780131,0.0093097248561191,5.448542705190551,0.1609217023092602,-2.5407315885755373,,,-0.6164122912999188,1.062674161965628e-07,155921400.0,2.0,0.1253389474902692,864622647.4934082,33244658034144.0,41807.96638796582,9.967450239884329
1987,8,0.0003054026837332448,0.0032896429323163,0.0,0.0,4.658674457305693,0.1192837783972277,-3.440187580736027,,,-1.0430655059174896,0.0,155921400.0,2.0,0.1253389474902692,787643401.1434326,33244691802776.0,41808.00885487374,9.967450239884329
1987,9,0.00029608994522709617,0.0345069633225897,0.0022125431809313,0.0,4.036895999026887,0.0926077091582708,-2.3909791674408827,,,-0.5883641306806422,2.6578348864092687e-08,155921400.0,2.0,0.1253389474902692,835600191.6378174,33244792691972.0,41808.13573156205,9.967450239884329
1987,10,0.00028374346510250494,0.0806700961587156,0.0042548174313785,0.0,3.530608355578291,0.0729243995625277,-1.829594015738607,,,-0.3273022976190852,5.607421382535284e-08,155921400.0,2.0,0.1253389474902692,849763263.529419,33244916584140.0,41808.291536431214,9.967450239884329
