Year,Feature_Name,Landcover_Class,diff_dev
2025,Island County,Open Space,-0.2375999999999969
2025,Island County,Low Intensity,-0.066599999999994
2025,Island County,Medium Intensity,0.0846
2025,Island County,High Intensity,0.0062999999999999
2025,Island County,Forest,0.1989000000000373
2025,Island County,Agriculture,0.0144000000000019
2025,Clallam County,Open Space,-0.2969999999999988
2025,Clallam County,Low Intensity,-0.2214000000000027
2025,Clallam County,Medium Intensity,0.1341000000000001
2025,Clallam County,High Intensity,0.0
2025,Clallam County,Forest,0.4877999999999929
2025,Clallam County,Agriculture,-0.1034999999999968
2025,King County,Open Space,-0.3951000000000135
2025,King County,Low Intensity,0.0503999999999678
2025,King County,Medium Intensity,1.1762999999999977
2025,King County,High Intensity,0.392399999999995
2025,King County,Forest,-1.436399999999992
2025,King County,Agriculture,0.2124000000000023
2025,Snohomish County,Open Space,0.1422000000000025
2025,Snohomish County,Low Intensity,0.2582999999999913
2025,Snohomish County,Medium Intensity,3.142799999999994
2025,Snohomish County,High Intensity,0.9089999999999988
2025,Snohomish County,Forest,-2.90339999999992
2025,Snohomish County,Agriculture,-1.5489000000000033
2025,Whatcom County,Open Space,0.0405000000000015
2025,Whatcom County,Low Intensity,0.3104999999999975
2025,Whatcom County,Medium Intensity,0.3672000000000004
2025,Whatcom County,High Intensity,0.2664000000000008
2025,Whatcom County,Forest,-0.7973999999999819
2025,Whatcom County,Agriculture,-0.1872000000000184
2025,Pierce County,Open Space,0.8982000000000028
2025,Pierce County,Low Intensity,1.056600000000003
2025,Pierce County,Medium Intensity,3.7656000000000063
2025,Pierce County,High Intensity,1.6145999999999958
2025,Pierce County,Forest,-6.055199999999786
2025,Pierce County,Agriculture,-1.279800000000023
2025,Thurston County,Open Space,-0.3950999999999993
2025,Thurston County,Low Intensity,1.0728000000000009
2025,Thurston County,Medium Intensity,1.444499999999998
2025,Thurston County,High Intensity,0.7560000000000002
2025,Thurston County,Forest,-1.8864000000000372
2025,Thurston County,Agriculture,-0.991800000000012
2025,Jefferson County,Open Space,-0.2133000000000002
2025,Jefferson County,Low Intensity,-0.0539999999999984
2025,Jefferson County,Medium Intensity,-0.0792000000000001
2025,Jefferson County,High Intensity,0.0386999999999999
2025,Jefferson County,Forest,0.3708000000000027
2025,Jefferson County,Agriculture,-0.0629999999999988
2025,Skagit County,Open Space,0.012599999999999
2025,Skagit County,Low Intensity,-0.0224999999999973
2025,Skagit County,Medium Intensity,0.1386000000000002
2025,Skagit County,High Intensity,0.0819000000000009
2025,Skagit County,Forest,-0.1682999999999879
2025,Skagit County,Agriculture,-0.0423000000000115
2025,San Juan County,Open Space,-0.0863999999999993
2025,San Juan County,Low Intensity,-0.1134000000000003
2025,San Juan County,Medium Intensity,0.0062999999999999
2025,San Juan County,High Intensity,0.0
2025,San Juan County,Forest,0.2817000000000007
2025,San Juan County,Agriculture,-0.0882000000000005
2025,Mason County,Open Space,-0.0431999999999987
2025,Mason County,Low Intensity,-0.3356999999999992
2025,Mason County,Medium Intensity,0.0053999999999998
2025,Mason County,High Intensity,0.1817999999999999
2025,Mason County,Forest,0.2312999999999192
2025,Mason County,Agriculture,-0.0396
2025,Kitsap County,Open Space,-0.0350999999999999
2025,Kitsap County,Low Intensity,-0.2078999999999951
2025,Kitsap County,Medium Intensity,0.1160999999999994
2025,Kitsap County,High Intensity,0.3096000000000005
2025,Kitsap County,Forest,0.1602000000000316
2025,Kitsap County,Agriculture,-0.3429000000000002
2035,Island County,Open Space,-0.6821999999999981
2035,Island County,Low Intensity,-0.2825999999999951
2035,Island County,Medium Intensity,0.6281999999999996
2035,Island County,High Intensity,0.0971999999999999
2035,Island County,Forest,0.1107000000000084
2035,Island County,Agriculture,0.128700000000002
2035,Clallam County,Open Space,-0.6434999999999995
2035,Clallam County,Low Intensity,0.1278000000000005
2035,Clallam County,Medium Intensity,0.3087000000000017
2035,Clallam County,High Intensity,0.3374999999999994
2035,Clallam County,Forest,0.4553999999999405
2035,Clallam County,Agriculture,-0.5858999999999952
2035,King County,Open Space,0.9035999999999832
2035,King County,Low Intensity,0.4265999999999508
2035,King County,Medium Intensity,4.010400000000004
2035,King County,High Intensity,1.1016000000000048
2035,King County,Forest,-5.770800000000008
